127.0.0.1 - - [10/Aug/2016:15:59:27 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7698
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/js/mascara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/js/jqParallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/js/jqvalida.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/css/boot/rodape.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/css/boot/parallax.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/css/boot/topo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /Projeto/css/boot/conteudo.css HTTP/1.1" 200 17405
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:43 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:44 -0300] "GET /Projeto/css/img/iconSearch.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:44 -0300] "GET /Projeto/css/img/icons/face.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:44 -0300] "GET /Projeto/css/img/icons/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:44 -0300] "GET /Projeto/css/img/icons/likedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:44 -0300] "GET /Projeto/css/img/icons/git.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:44 -0300] "GET /Projeto/css/img/icons/local.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:44 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Aug/2016:15:59:59 -0300] "GET /Projeto/css/img/iconSearch2.png HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:00:03 -0300] "GET /Projeto/erroLogin.jsp HTTP/1.1" 200 7699
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:00:04 -0300] "GET /Projeto/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:00:04 -0300] "GET /Projeto/js/jqParallax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:00:04 -0300] "GET /Projeto/js/jqvalida.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:00:04 -0300] "GET /Projeto/js/mascara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2016:16:00:04 -0300] "GET /resources/demos/style.css HTTP/1.1" 404 1001
